timestamp,omega_x,omega_y,omega_z,alpha_x,alpha_y,alpha_z
1739402300070000000,0.017044231,0.017044231,0.018109497,-0.557849,1.2785037,9.834184
1739402300075000000,0.010652645,0.008522116,-0.0063915867,-0.5434838,1.2605472,9.835381
1739402300081000000,0.010652645,0.008522116,-0.0063915867,-0.5434838,1.2605472,9.835381
1739402300084000000,-0.0053263223,-0.0127831735,-0.058589544,-0.60693014,1.1719618,9.80665
1739402300090000000,-0.013848438,-0.026631612,-0.07882957,-0.6847417,1.0965444,9.861717
1739402300094000000,-0.022370555,-0.040480047,-0.09267801,-0.7733272,1.0247183,9.816227
1739402300099000000,-0.03195793,-0.053263225,-0.10013486,-0.8678981,0.9720459,9.80665
1739402300105000000,-0.046871636,-0.066046394,-0.098004326,-0.9636662,0.91697925,9.807847
1739402300108000000,-0.046871636,-0.066046394,-0.098004326,-0.9636662,0.91697925,9.807847
1739402300115000000,-0.07669904,-0.07989483,-0.07350325,-1.0247183,0.8619126,10.0341
1739402300119000000,-0.07669904,-0.07989483,-0.07350325,-1.0247183,0.8619126,10.0341
1739402300124000000,-0.11611383,-0.056459017,-0.036218993,-1.1001357,0.82599956,10.247183
1739402300129000000,-0.13741912,-0.029827405,-0.018109497,-1.0833763,0.8499416,10.283096
1739402300133000000,-0.13741912,-0.029827405,-0.018109497,-1.0833763,0.8499416,10.283096
1739402300140000000,-0.17044231,0.03195793,0.011717909,-0.9672575,0.90381116,10.243592
1739402300144000000,-0.18216023,0.05752428,0.022370555,-0.94331545,0.90381116,10.254366
1739402300149000000,-0.18961707,0.0777643,0.02876214,-0.89303726,0.93852705,10.26514
1739402300153000000,-0.18961707,0.0777643,0.02876214,-0.89303726,0.93852705,10.26514
1739402300160000000,-0.18322548,0.1107875,0.02876214,-0.8750807,0.9983821,10.261548
1739402300165000000,-0.17044231,0.11504856,0.024501082,-0.82480246,1.0127473,10.267534
1739402300171000000,-0.15020229,0.112918034,0.017044231,-0.82480246,0.9911995,10.255563
1739402300176000000,-0.1257012,0.10546118,0.007456851,-0.89662856,0.9516952,10.2974615
1739402300177000000,-0.1257012,0.10546118,0.007456851,-0.89662856,0.9516952,10.2974615
1739402300183000000,-0.0628506,0.08735169,-0.0053263223,-1.1288661,0.8870517,10.447099
1739402300188000000,-0.03089267,0.082025364,-0.004261058,-1.2006922,0.8655039,10.479421
1739402300190000000,-0.03089267,0.082025364,-0.004261058,-1.2006922,0.8655039,10.479421
1739402300195000000,0.026631612,0.083090626,0.013848438,-1.2210429,0.8535329,10.429143
1739402300201000000,0.026631612,0.083090626,0.013848438,-1.2210429,0.8535329,10.429143
1739402300210000000,0.06178534,0.10226539,0.04474111,-1.1468226,0.81522566,10.147824
1739402300215000000,0.060720075,0.10972224,0.04580637,-1.091756,0.8475474,10.121488
1739402300219000000,0.060720075,0.10972224,0.04580637,-1.091756,0.8475474,10.121488
1739402300222000000,0.05219796,0.11504856,0.04474111,-1.0462662,0.8583213,10.078392
1739402300228000000,0.029827405,0.12250541,0.026631612,-0.92057055,0.90141696,9.859323
1739402300230000000,0.029827405,0.12250541,0.026631612,-0.92057055,0.90141696,9.859323
1739402300235000000,0.017044231,0.12037488,0.014913702,-0.93254155,0.93852705,9.976639
1739402300240000000,0.008522116,0.111852765,0.002130529,-1.0259154,0.9756372,10.013748
1739402300244000000,0.0063915867,0.099069595,-0.007456851,-1.1264719,1.0235212,10.040085
1739402300249000000,0.0031957934,0.08735169,-0.008522116,-1.1935096,1.0606314,10.075998
1739402300254000000,0.0010652645,0.07882957,-0.008522116,-1.210269,1.0510546,10.06283
1739402300259000000,-0.002130529,0.07350325,-0.007456851,-1.198298,1.0402806,10.0987425
1739402300264000000,-0.007456851,0.068176925,-0.007456851,-1.2042835,1.0462662,10.060435
1739402300270000000,-0.015978966,0.070307456,-0.00958738,-1.1695676,1.0749966,10.073604
1739402300274000000,-0.02876214,0.07456851,-0.010652645,-1.1623849,1.0773908,10.011354
1739402300280000000,-0.04261058,0.080960095,-0.011717909,-1.115698,1.0103531,9.991004
1739402300283000000,-0.058589544,0.08948222,-0.0127831735,-1.1204864,0.9540894,9.970653
1739402300289000000,-0.0777643,0.099069595,-0.0127831735,-1.1372458,0.91697925,9.956287
1739402300292000000,-0.0777643,0.099069595,-0.0127831735,-1.1372458,0.91697925,9.956287
1739402300299000000,-0.11824436,0.12144015,-0.015978966,-1.1288661,0.8631097,9.77792
1739402300301000000,-0.11824436,0.12144015,-0.015978966,-1.1288661,0.8631097,9.77792
1739402300304000000,-0.13528858,0.12783173,-0.017044231,-1.1264719,0.8523358,9.727641
1739402300309000000,-0.14913702,0.13102753,-0.020240024,-1.0809821,0.81043726,9.716867
1739402300312000000,-0.14913702,0.13102753,-0.020240024,-1.0809821,0.81043726,9.716867
1739402300315000000,-0.15659387,0.12783173,-0.024501082,-1.0702082,0.8379706,9.77792
1739402300320000000,-0.15659387,0.12144015,-0.02876214,-1.0450691,0.8379706,9.739613
1739402300324000000,-0.15233281,0.10972224,-0.035153728,-0.9888053,0.8475474,9.689334
1739402300330000000,-0.1438107,0.096939065,-0.04474111,-0.93732995,0.830788,9.627085
1739402300334000000,-0.13528858,0.082025364,-0.05539375,-0.94690675,0.79607207,9.534908
1739402300340000000,-0.1257012,0.06498113,-0.06924219,-0.92057055,0.7745243,9.481039
1739402300345000000,-0.11611383,0.05006743,-0.083090626,-0.89184016,0.7673417,9.522937
1739402300348000000,-0.11611383,0.05006743,-0.083090626,-0.89184016,0.7673417,9.522937
1739402300354000000,-0.10226539,0.035153728,-0.098004326,-0.973243,0.7553706,9.560047
1739402300359000000,-0.06924219,0.020240024,-0.10652645,-1.2138603,0.6368576,9.607931
1739402300364000000,-0.054328486,0.025566347,-0.10439592,-1.3443443,0.58418524,9.512163
1739402300369000000,-0.04474111,0.039414786,-0.098004326,-1.3551182,0.51116204,9.582792
1739402300370000000,-0.04474111,0.039414786,-0.098004326,-1.3551182,0.51116204,9.582792
1739402300377000000,-0.034088463,0.05539375,-0.08735169,-1.3814543,0.48602295,9.592369
1739402300380000000,-0.02130529,0.07137272,-0.07669904,-1.3730747,0.49440265,9.662998
1739402300384000000,-0.0053263223,0.08628642,-0.0628506,-1.3694834,0.5398925,9.745598
1739402300390000000,0.013848438,0.10333065,-0.0479369,-1.3599066,0.5638345,9.757569
1739402300395000000,0.035153728,0.12250541,-0.034088463,-1.3455414,0.59495914,9.757569
1739402300400000000,0.035153728,0.12250541,-0.034088463,-1.3455414,0.59495914,9.757569
1739402300401000000,0.035153728,0.12250541,-0.034088463,-1.3455414,0.59495914,9.757569
1739402300404000000,0.06711166,0.16831179,-0.017044231,-1.2366052,0.6919243,9.672575
1739402300409000000,0.07882957,0.19387813,-0.018109497,-1.1504139,0.7433996,9.624691
1739402300411000000,0.07882957,0.19387813,-0.018109497,-1.1504139,0.7433996,9.624691
1739402300414000000,0.08948222,0.2130529,-0.025566347,-1.0833763,0.79248077,9.55885
1739402300419000000,0.099069595,0.23009712,-0.037284255,-0.9923966,0.80445176,9.472659
1739402300421000000,0.099069595,0.23009712,-0.037284255,-0.9923966,0.80445176,9.472659
1739402300424000000,0.10759171,0.2396845,-0.05539375,-1.0139444,0.82360536,9.495404
1739402300429000000,0.11930962,0.24714136,-0.07669904,-0.90500826,0.866701,9.464279
1739402300434000000,0.13741912,0.2514024,-0.101200126,-0.93972415,0.90141696,9.42238
1739402300440000000,0.1587244,0.25033715,-0.12463594,-1.0139444,0.92655605,9.441534
1739402300445000000,0.18855181,0.24074976,-0.14487597,-1.0474633,0.92176765,9.369708
1739402300446000000,0.18855181,0.24074976,-0.14487597,-1.0474633,0.92176765,9.369708
1739402300451000000,0.22264028,0.22583607,-0.16405073,-1.0259154,0.93373865,9.39365
1739402300454000000,0.26418558,0.20453078,-0.18429075,-1.0737995,0.89782566,9.355343
1739402300459000000,0.3057309,0.18109496,-0.20240025,-1.0606314,0.8774749,9.283517
1739402300464000000,0.3057309,0.18109496,-0.20240025,-1.0606314,0.8774749,9.283517
1739402300465000000,0.3057309,0.18109496,-0.20240025,-1.0606314,0.8774749,9.283517
1739402300471000000,0.37603834,0.12783173,-0.23009712,-1.1121067,0.78529817,9.172187
1739402300475000000,0.39414784,0.10652645,-0.23861924,-1.1563994,0.7218518,9.101558
1739402300481000000,0.40053943,0.09054748,-0.24501082,-1.2258313,0.6488287,9.1255
1739402300486000000,0.39734364,0.084155895,-0.24607609,-1.3563153,0.5554548,9.105149
1739402300487000000,0.39734364,0.084155895,-0.24607609,-1.3563153,0.5554548,9.105149
1739402300494000000,0.35899413,0.10546118,-0.221575,-1.6687586,0.4177882,9.112331
1739402300500000000,0.3270362,0.12996227,-0.19707392,-1.7753005,0.40821138,9.053674
1739402300505000000,0.28868666,0.15978967,-0.16618125,-1.7657237,0.4165911,9.131485
1739402300507000000,0.28868666,0.15978967,-0.16618125,-1.7657237,0.4165911,9.131485
1739402300512000000,0.25566345,0.18429075,-0.12996227,-1.7202339,0.4213795,9.107543
1739402300514000000,0.25566345,0.18429075,-0.12996227,-1.7202339,0.4213795,9.107543
1739402300519000000,0.18961707,0.2247708,-0.06178534,-1.650802,0.46327803,9.100361
1739402300524000000,0.16405073,0.23755397,-0.034088463,-1.5753847,0.5279215,9.058462
1739402300526000000,0.16405073,0.23755397,-0.034088463,-1.5753847,0.5279215,9.058462
1739402300531000000,0.1438107,0.2428803,-0.010652645,-1.4939818,0.61411273,9.082404
1739402300533000000,0.13209279,0.2396845,0.0053263223,-1.4221559,0.7015011,9.059659
