#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1740627645809633280,1e-10,0.002130529,-0.002130529,-0.6775591,-0.077811554,9.578004
1740627645820962304,0.0031957934,0.0010652645,0.0010652645,-0.6667852,-0.077811554,9.554062
1740627645831969792,0.0031957934,0.002130529,-0.0010652645,-0.6584055,-0.076614454,9.561244
1740627645839973888,1e-10,0.0031957934,1e-10,-0.6715736,-0.075417355,9.544485
1740627645850069504,0.0010652645,0.002130529,-0.0010652645,-0.6619968,-0.08379706,9.568427
1740627645859807488,0.0010652645,0.002130529,1e-10,-0.6799533,-0.074220255,9.548077
1740627645869704960,0.002130529,0.0031957934,-0.0010652645,-0.6739678,-0.075417355,9.527725
1740627645875464192,0.0010652645,0.002130529,1e-10,-0.6655881,-0.08619126,9.533711
1740627645890412288,0.004261058,0.002130529,-0.0010652645,-0.6655881,-0.08619126,9.534908
1740627645899613440,0.002130529,0.002130529,1e-10,-0.6835446,-0.061052144,9.555259
1740627645910488064,0.002130529,0.0010652645,0.0010652645,-0.6751649,-0.06703765,9.534908
1740627645914681088,0.002130529,0.002130529,0.0010652645,-0.6572084,-0.090979666,9.546879
1740627645930000128,0.0031957934,0.0031957934,1e-10,-0.6596026,-0.077811554,9.55885
1740627645941753856,0.002130529,0.002130529,0.002130529,-0.676362,-0.08619126,9.536105
1740627645951595520,0.002130529,0.0031957934,-0.0010652645,-0.6619968,-0.08499416,9.52174
1740627645960726528,0.0010652645,0.002130529,0.0010652645,-0.6488287,-0.06703765,9.544485
1740627645970980096,0.0031957934,0.002130529,1e-10,-0.6727707,-0.06344634,9.557653
1740627645980734464,0.002130529,0.002130529,-0.0010652645,-0.6404489,-0.08619126,9.554062
1740627645991728896,0.002130529,0.0031957934,0.0010652645,-0.6596026,-0.08738836,9.555259
1740627646001071104,0.0031957934,0.002130529,1e-10,-0.6799533,-0.079008654,9.518148
1740627646011038464,0.0031957934,0.0031957934,-0.0010652645,-0.6667852,-0.06344634,9.566033
1740627646051506944,0.0010652645,0.002130529,1e-10,-0.6596026,-0.05746084,9.581595
1740627646061477376,0.002130529,1e-10,-0.0010652645,-0.664391,-0.090979666,9.533711
