#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1740628111764952541,0.16405073,0.018109497,-0.06391586,-0.81642276,6.63553,7.2867527
1740628111774758000,0.19813919,0.0127831735,-0.080960095,-0.8643068,6.683414,7.053318
1740628111784681209,0.21731395,0.002130529,-0.09374327,-1.0043676,6.6642604,6.6989765
1740628111795222166,0.20772657,0.0010652645,-0.094808534,-1.1623849,6.7145386,6.3087215
1740628111805258375,0.16937704,0.013848438,-0.08841695,-1.2593501,6.7492547,6.051345
1740628111815683083,0.10439592,0.023435818,-0.0777643,-1.3215994,6.7444663,5.8203044
1740628111825524458,0.02876214,0.03195793,-0.06711166,-1.4532804,6.739678,5.7808
1740628111835394625,-0.053263225,0.03834952,-0.051132694,-1.5442601,6.731298,5.877765
1740628111845074416,-0.12357068,0.03089267,-0.025566347,-1.6484078,6.721721,6.0130377
1740628111855053791,-0.18322548,0.02130529,0.007456851,-1.6543933,6.6965823,6.160281
1740628111865362250,-0.23116238,0.008522116,0.04261058,-1.5885528,6.6905966,6.337452
1740628111875433083,-0.26844665,-0.004261058,0.06924219,-1.3706805,6.647501,6.7265096
1740628111885531458,-0.28442562,-0.020240024,0.08522116,-1.2318168,6.59004,6.993463
1740628111892643625,-0.28442562,-0.029827405,0.08948222,-1.1815386,6.5720835,7.088034
1740628111901567750,-0.2514024,-0.05219796,0.094808534,-0.973243,6.554127,7.4148426
1740628111915166292,-0.21198763,-0.068176925,0.09267801,-0.8678981,6.5325794,7.529764
1740628111925389416,-0.16192019,-0.09267801,0.082025364,-0.7015011,6.5469446,7.583634
1740628111935798334,-0.113983296,-0.099069595,0.06924219,-0.6631939,6.549339,7.445967
1740628111941522375,-0.08841695,-0.101200126,0.058589544,-0.641646,6.5325794,7.37055
1740628111951658624,-0.0479369,-0.096939065,0.043675844,-0.6548142,6.471527,7.121553
1740628111963576167,-0.026631612,-0.070307456,0.03089267,-0.6907272,6.481104,7.0700774
1740628111967928708,-0.022370555,-0.058589544,0.024501082,-0.70509243,6.481104,6.9838862
1740628111980253542,-0.024501082,-0.040480047,0.00958738,-0.7493851,6.455965,6.8785415
1740628111995029875,-0.043675844,-0.040480047,-0.01917476,-0.8583213,6.4990606,6.8581905
1740628112004665375,-0.056459017,-0.035153728,-0.027696876,-0.93493575,6.549339,6.895301
1740628112014780167,-0.066046394,-0.026631612,-0.039414786,-1.1504139,6.5696893,6.839037
1740628112025618667,-0.07563378,-0.029827405,-0.041545313,-1.3395559,6.5720835,6.8462195
1740628112034507959,-0.08522116,-0.037284255,-0.027696876,-1.4065934,6.5325794,6.933608
1740628112044740875,-0.09054748,-0.03834952,-0.004261058,-1.4041992,6.531382,7.0006456
1740628112055434042,-0.084155895,-0.043675844,0.036218993,-1.3575124,6.518214,7.015011
1740628112064598625,-0.07456851,-0.05965481,0.06178534,-1.2330139,6.471527,7.0784574
1740628112074567416,-0.06711166,-0.06391586,0.07456851,-1.0283096,6.4427967,7.1023993
1740628112084554250,-0.06391586,-0.05752428,0.07669904,-0.8678981,6.4260373,7.101202
1740628112095080084,-0.056459017,-0.05539375,0.070307456,-0.6955156,6.421249,7.0928226
1740628112105420791,-0.05219796,-0.05539375,0.053263225,-0.5734113,6.408081,7.183802
1740628112114099000,-0.040480047,-0.051132694,0.02876214,-0.5662287,6.3913217,7.2939353
1740628112122331500,-0.034088463,-0.049002163,0.015978966,-0.5805939,6.38773,7.338228
1740628112134668500,-0.004261058,-0.03195793,-0.010652645,-0.6584055,6.420052,7.3777328
1740628112144593542,0.020240024,-0.01917476,-0.022370555,-0.6967127,6.405687,7.382521
1740628112154225125,0.04580637,-0.014913702,-0.034088463,-0.7553706,6.3745623,7.4112515
1740628112164929750,0.070307456,-0.0127831735,-0.04474111,-0.8487445,6.3925185,7.36217
1740628112174152667,0.09267801,-0.010652645,-0.0479369,-0.8870517,6.397307,7.253234
1740628112184459791,0.1107875,-0.013848438,-0.0479369,-0.89184016,6.4344172,7.1347213
1740628112194273291,0.12037488,-0.0053263223,-0.049002163,-0.8870517,6.4487824,7.0066314
1740628112204333416,0.11930962,0.010652645,-0.054328486,-0.92655605,6.4583592,6.9252286
1740628112215360125,0.10759171,0.023435818,-0.060720075,-0.9828198,6.5026517,6.75524
1740628112225139500,0.08735169,0.033023197,-0.06178534,-1.0666169,6.5110316,6.7468605
1740628112235159666,0.06391586,0.046871636,-0.05539375,-1.0821792,6.4906807,6.8366427
1740628112244526792,0.049002163,0.056459017,-0.05006743,-1.103727,6.503849,6.8773446
1740628112254409458,0.04580637,0.05219796,-0.0479369,-1.1360487,6.537368,6.8007298
1740628112260603750,0.041545313,0.046871636,-0.04580637,-1.1456255,6.5349736,6.7851677
1740628112275708417,0.01917476,0.036218993,-0.039414786,-1.1791444,6.5864487,6.7121444
1740628112285482917,-0.002130529,0.03834952,-0.03195793,-1.2054806,6.597223,6.683414
1740628112295517667,-0.022370555,0.04474111,-0.015978966,-1.2593501,6.563704,6.7025676
1740628112305800542,-0.037284255,0.03834952,0.0,-1.2509704,6.531382,6.7743936
1740628112315785250,-0.051132694,0.025566347,0.013848438,-1.2114661,6.518214,6.7851677
1740628112325998375,-0.06391586,0.020240024,0.025566347,-1.0905589,6.5122285,6.873753
1740628112335055750,-0.07669904,0.017044231,0.026631612,-0.9804256,6.495469,6.92044
1740628112341551333,-0.080960095,0.017044231,0.025566347,-0.93493575,6.4978633,6.933608
1740628112353634458,-0.08841695,0.025566347,0.020240024,-0.8810662,6.5098343,6.977901
1740628112365195666,-0.082025364,0.034088463,0.008522116,-0.81642276,6.459556,7.1395097
1740628112374450375,-0.06711166,0.03195793,0.0010652645,-0.7625532,6.445191,7.133524
1740628112385007416,-0.053263225,0.024501082,-0.00958738,-0.7146692,6.4583592,7.1706343
1740628112394605625,-0.039414786,0.02130529,-0.025566347,-0.7326257,6.445191,7.144298
1740628112404807833,-0.025566347,0.013848438,-0.039414786,-0.82480246,6.479907,7.1383123
1740628112414721667,-0.015978966,0.008522116,-0.049002163,-0.91219085,6.47033,7.1610575
1740628112425323791,-0.007456851,0.00958738,-0.05219796,-0.94930094,6.457162,7.181408
1740628112434582083,0.008522116,0.015978966,-0.053263225,-1.0055647,6.4463882,7.243657
1740628112445080250,0.02876214,0.015978966,-0.05219796,-1.115698,6.4140663,7.2951326
1740628112454798292,0.05006743,0.00958738,-0.04474111,-1.1647792,6.429629,7.228095
1740628112461308625,0.05965481,0.004261058,-0.040480047,-1.1587936,6.43322,7.2005615
1740628112474493500,0.084155895,-0.014913702,-0.03089267,-1.1432313,6.467936,7.117962
1740628112484616375,0.09054748,-0.01917476,-0.02876214,-1.1504139,6.518214,7.029376
1740628112495186875,0.084155895,-0.0127831735,-0.027696876,-1.1707647,6.5230026,6.853402
1740628112504712084,0.07882957,-0.007456851,-0.023435818,-1.1887212,6.5122285,6.7588315
1740628112514902958,0.06178534,-0.0031957934,-0.013848438,-1.2294226,6.5361705,6.691794
1740628112525204250,0.037284255,0.002130529,-0.0031957934,-1.2389994,6.5684924,6.5720835
